Word,Rating.Mean,
recordplayer,6.37,
recreant,12.91,
redistrict,14.31,
referable,12.31,
remonstration,15.12,
renascence,13.40,
repine,14.17,
resalable,14.17,
residuary,13.58,
riband,13.00,
ribcage,8.56,
riel,15.67,
ripsaw,13.08,
riyal,17.25,
roadsweeper,9.83,
rockingchair,5.78,
rogation,NA,
roguery,14.92,
rollerblade,10.80,
rollercoaster,6.07,
rollerskate,6.32,
rollingpin,7.60,
roomette,13.88,
roughen,10.38,
rubicund,14.00,
rumrunner,15.25,
rupiah,14.00,
safetypin,6.53,
samarium,12.50,
sandhog,14.25,
sauterne,18.40,
scaleless,11.53,
secretaryship,12.11,
sedulous,16.67,
selvedge,13.40,
sententious,15.57,
sepulture,17.00,
sewingmachine,5.71,
sheave,13.25,
shellshock,13.17,
shipwright,12.29,
shopkeeping,11.07,
shriven,14.22,
shrove,13.83,
sidepiece,10.20,
sinfulness,9.28,
sinuosity,15.17,
skivvy,11.40,
slotmachine,11.81,
smilax,NA,
sophistic,13.71,
sough,13.72,
spheroidal,13.38,
spinningwheel,8.02,
spirituous,12.50,
spitefulness,11.22,
splenetic,17.33,
starveling,14.25,
steeringwheel,5.41,
stereoscopy,16.50,
stile,10.95,
stolidity,16.82,
stomacher,14.33,
strophic,16.22,
stultification,16.88,
styptic,16.64,
sublunar,14.69,
substratum,14.42,
suffragan,18.00,
suppuration,16.83,
sward,11.29,
swart,15.00,
swathe,12.06,
swimmingpool,4.20,
syllabication,13.79,
tabulator,14.92,
tangibility,13.10,
tapemeasure,8.34,
taperecorder,8.50,
tartaric,15.00,
teasel,13.50,
telephonist,11.93,
tenability,16.73,
tennisracket,7.27,
tercentenary,13.80,
theosophist,16.00,
thermostatic,13.27,
thorp,15.50,
throve,12.75,
thulium,NA,
tigerish,11.62,
timpanist,13.39,
tintinnabulation,15.00,
tirelessness,10.12,
tocsin,14.83,
toiletpaper,5.09,
totempole,8.67,
traindriver,8.34,
transonic,16.25,
trapshooting,13.64,
trifocals,12.94,
trimeter,14.11,
trireme,11.67,
trochaic,14.60,
trumpery,19.00,
trustworthiness,10.05,
tumid,15.67,
tuneable,13.00,
ulcerate,15.83,
unconcern,9.41,
undeceive,11.85,
underdevelop,10.88,
undergird,13.60,
underlie,10.79,
underlip,10.08,
undermost,11.19,
undershot,11.33,
undeviating,14.62,
undulatory,15.38,
unexampled,13.15,
unharmonious,12.55,
unreliability,10.28,
unriddle,12.85,
untruthfulness,8.96,
ursine,14.17,
usherette,13.10,
utile,14.60,
uxorious,17.50,
vacuumcleaner,5.68,
valorize,14.88,
valuate,13.33,
vapidity,15.00,
varicolored,13.54,
vasomotor,17.14,
vatic,17.00,
velar,19.50,
velours,13.33,
venation,14.00,
vend,10.29,
vendee,15.57,
vendingmachine,6.98,
versify,12.29,
vicegerent,17.50,
villous,15.00,
vinous,14.33,
violable,14.07,
virago,15.17,
visualizer,12.72,
vitiation,16.50,
vocalic,14.22,
vocative,14.27,
voguish,14.75,
volatilize,13.67,
voluptuary,16.18,
vulcanization,14.75,
walkman,10.35,
warless,12.43,
washhouse,10.88,
washingmachine,4.80,
wateringcan,7.22,
weald,14.90,
weathertight,12.33,
weatherworn,11.33,
weightlift,9.41,
wellmannered,8.21,
whicker,11.15,
whimsicality,12.69,
whitewall,10.86,
wideness,8.72,
wifehood,13.33,
wigwag,12.25,
wiliness,13.27,
williwaw,NA,
winegrower,11.29,
withy,13.62,
witting,13.89,
woodchopper,8.30,
woodworker,9.23,
wreathe,8.99,
xenophobe,16.50,
you,4.35,
I,2.79,
the,3.98,
to,3.95,
a,2.89,
it,4.40,
that,5.53,
and,4.57,
of,4.55,
what,3.86,
in,3.69,
me,3.28,
we,5.04,
this,4.93,
he,3.81,
on,4.01,
for,4.39,
my,2.72,
your,4.10,
don,11.65,
have,3.72,
do,3.60,
no,2.72,
be,5.11,
know,4.50,
not,3.89,
can,4.32,
all,4.24,
with,4.44,
just,7.01,
get,3.17,
here,3.74,
but,4.60,
there,5.25,
so,5.15,
they,4.88,
right,4.35,
like,3.69,
out,3.28,
go,3.37,
she,3.57,
up,2.92,
about,5.07,
if,5.36,
him,3.43,
oh,4.72,
at,4.04,
now,5.25,
come,3.32,
one,3.23,
how,5.36,
well,6.16,
her,5.09,
want,4.16,
think,4.75,
good,3.55,
see,3.06,
let,4.53,
why,3.97,
who,3.81,
as,6.10,
his,3.69,
will,7.53,
going,5.41,
from,4.44,
when,4.24,
back,5.31,
okay,3.43,
yes,2.31,
gonna,5.94,
time,5.16,
look,4.05,
take,4.37,
man,3.11,
where,4.09,
them,4.90,
would,5.28,
some,4.85,
tell,4.26,
or,4.14,
us,4.19,
say,3.42,
really,5.94,
something,5.05,
down,4.93,
then,6.74,
little,3.95,
way,5.39,
our,4.35,
make,4.68,
too,5.10,
never,5.07,
by,5.41,
over,5.57,
more,3.78,
need,3.56,
mean,4.00,
very,4.90,
off,3.83,
sorry,3.44,
give,4.28,
thank,3.79,
love,5.17,
people,3.52,
please,3.48,
sure,4.85,
any,6.00,
thing,4.58,
only,4.95,
because,4.44,
two,4.24,
doing,5.89,
much,4.58,
sir,6.37,
maybe,4.50,
help,3.65,
anything,6.12,
these,6.42,
god,4.35,
even,6.37,
night,3.61,
call,4.74,
talk,3.68,
nothing,5.21,
into,6.52,
first,4.39,
find,5.78,
wait,4.30,
put,3.72,
great,5.05,
thought,5.89,
day,3.50,
work,5.86,
life,5.89,
before,5.45,
better,5.02,
again,5.78,
still,5.26,
home,3.87,
guy,4.11,
those,5.01,
than,5.45,
around,5.94,
other,5.33,
away,5.07,
new,4.72,
last,4.35,
ever,6.26,
stop,2.89,
keep,4.42,
must,4.58,
big,2.89,
after,6.00,
long,4.24,
always,6.26,
their,5.26,
everything,4.44,
nice,3.95,
name,3.68,
money,5.11,
feel,5.11,
believe,5.78,
thanks,3.53,
old,3.72,
place,4.95,
fine,7.44,
kind,4.89,
hello,3.76,
lot,6.26,
leave,5.58,
girl,4.00,
hear,3.80,
father,4.11,
through,5.82,
every,4.20,
bad,2.79,
listen,5.40,
remember,5.63,
three,3.69,
boy,3.67,
coming,4.77,
wrong,4.22,
stay,4.22,
house,3.16,
may,5.65,
baby,3.84,
another,5.05,
dad,2.58,
enough,6.96,
show,6.21,
course,7.34,
being,5.99,
care,5.65,
mind,5.37,
left,5.57,
ask,2.89,
car,3.37,
understand,6.17,
mother,2.63,
which,6.58,
try,3.44,
shit,6.53,
hell,5.11,
miss,6.33,
own,5.21,
world,5.32,
guess,5.44,
next,4.35,
kill,6.35,
else,6.53,
dead,5.17,
someone,4.92,
real,4.95,
room,4.22,
morning,4.00,
hold,4.67,
woman,4.95,
yourself,4.95,
today,4.77,
mom,2.22,
friend,3.57,
move,4.62,
same,5.62,
job,5.39,
tonight,4.73,
son,3.78,
best,4.09,
saw,5.36,
found,5.15,
pretty,4.09,
ready,5.53,
whole,6.89,
together,5.94,
fuck,11.22,
minute,7.26,
head,3.42,
matter,7.56,
haven,9.13,
excuse,6.33,
many,4.60,
idea,5.95,
without,6.53,
play,4.10,
family,3.38,
meet,4.74,
run,4.47,
while,7.06,
wife,5.67,
once,4.97,
live,6.10,
somebody,5.31,
everybody,4.88,
use,4.50,
myself,3.81,
yet,6.96,
start,4.37,
kid,4.28,
tomorrow,5.19,
happy,2.72,
school,3.89,
problem,6.06,
watch,4.33,
bring,4.42,
fucking,10.74,
actually,7.33,
business,7.47,
hope,4.89,
open,5.00,
since,6.85,
looks,4.77,
sit,3.47,
cause,5.84,
alone,4.94,
hard,4.39,
stuff,5.00,
turn,4.11,
until,5.89,
few,6.00,
kids,3.86,
honey,5.44,
both,4.77,
door,3.05,
later,4.75,
saying,4.95,
such,6.42,
face,3.75,
worry,6.61,
ago,7.12,
five,4.51,
second,4.68,
brother,3.63,
damn,8.30,
case,6.74,
beautiful,5.72,
hand,2.74,
check,5.53,
year,5.24,
forget,4.78,
hit,4.75,
crazy,5.22,
late,5.28,
phone,4.11,
nobody,5.25,
end,4.28,
easy,5.43,
doctor,4.60,
shut,4.89,
under,5.89,
part,5.11,
deal,6.00,
die,4.53,
soon,4.83,
four,4.93,
anyone,5.36,
pay,5.50,
happen,5.26,
true,4.64,
each,4.95,
supposed,8.67,
eat,2.78,
jack,6.96,
mine,4.24,
town,5.11,
afraid,4.42,
drink,3.47,
exactly,7.49,
whatever,6.14,
hurt,4.00,
heart,5.17,
young,4.61,
everyone,4.83,
chance,7.78,
read,4.11,
number,3.94,
change,4.26,
anyway,6.31,
week,5.11,
married,5.16,
point,4.55,
police,5.05,
word,4.42,
fun,3.67,
wish,3.79,
bit,6.47,
game,4.26,
party,4.58,
set,6.00,
cut,4.43,
sleep,2.79,
shot,5.84,
anybody,5.11,
ass,7.84,
stand,4.39,
water,2.37,
trouble,4.56,
dear,5.55,
couple,5.75,
eyes,3.44,
break,5.30,
story,3.89,
far,4.88,
times,6.70,
close,4.50,
means,8.29,
funny,5.47,
lady,3.68,
death,5.37,
walk,3.45,
fire,3.25,
hate,5.53,
gun,5.58,
rest,4.22,
person,4.67,
inside,4.77,
different,5.50,
captain,6.06,
important,5.79,
also,6.64,
line,4.85,
yours,4.51,
office,6.68,
dinner,3.99,
quite,7.44,
against,7.97,
fight,5.47,
side,4.72,
six,5.25,
half,5.45,
pick,5.26,
question,6.16,
ahead,5.45,
cool,4.58,
body,4.28,
high,4.58,
husband,5.53,
reason,7.84,
almost,5.47,
dog,2.80,
buy,5.56,
truth,4.42,
hot,3.37,
behind,4.90,
speak,3.56,
bed,2.89,
moment,7.95,
blood,4.89,
ma,4.35,
shall,8.42,
daddy,2.56,
stupid,4.40,
along,5.41,
either,6.28,
though,7.32,
front,5.19,
sister,3.68,
bye,3.28,
send,5.68,
welcome,4.06,
sometimes,6.37,
trust,6.55,
free,5.21,
book,3.68,
answer,5.43,
between,5.47,
children,4.10,
war,7.67,
hurry,4.44,
fact,6.47,
bet,7.00,
clear,5.80,
white,4.06,
glad,5.79,
daughter,4.95,
outside,3.58,
city,6.56,
bitch,10.11,
feeling,5.31,
black,3.56,
full,4.24,
till,6.90,
sick,4.05,
light,4.05,
shoot,5.53,
news,6.16,
lose,5.78,
wonderful,6.47,
save,5.44,
hour,5.85,
country,7.05,
able,7.79,
frank,10.58,
perfect,5.78,
child,5.15,
order,6.26,
alive,5.11,
food,3.25,
luck,6.53,
hair,3.17,
drive,5.26,
promise,5.67,
sex,9.79,
music,3.81,
power,7.48,
sort,6.81,
special,5.00,
serious,6.58,
street,4.58,
red,3.68,
dance,4.63,
hang,6.68,
touch,5.16,
team,6.00,
company,6.84,
pull,4.79,
plan,6.78,
sweet,4.53,
ten,3.58,
coffee,4.94,
lucky,5.89,
sound,3.72,
safe,5.11,
date,5.84,
president,6.89,
himself,5.21,
seem,6.74,
air,3.94,
picture,4.05,
lord,5.95,
fast,3.74,
perhaps,7.60,
catch,4.61,
ride,4.67,
win,4.22,
top,3.89,
scared,3.79,
dream,4.88,
sign,4.32,
meeting,5.72,
sense,7.32,
beat,6.15,
control,7.26,
drop,3.26,
cold,3.95,
darling,5.79,
figure,7.53,
king,5.42,
poor,6.11,
throw,4.14,
write,4.89,
cannot,4.83,
suppose,8.21,
small,3.22,
human,4.83,
piece,4.89,
boss,6.16,
hospital,5.55,
uncle,4.47,
past,6.78,
follow,5.11,
movie,3.56,
christmas,4.35,
straight,6.80,
clean,3.89,
kiss,3.61,
evening,5.84,
million,6.47,
lie,3.75,
felt,6.10,
certainly,7.24,
step,4.11,
learn,4.44,
fall,4.71,
bill,6.42,
class,4.95,
quiet,4.15,
wonder,7.63,
goodbye,3.47,
law,8.33,
become,5.85,
general,8.05,
rather,6.94,
possible,7.32,
goddamn,7.69,
unless,7.22,
mad,3.55,
absolutely,7.08,
tired,4.62,
murder,8.79,
road,4.55,
mike,6.78,
eye,3.75,
except,6.48,
somewhere,6.26,
explain,6.50,
none,5.57,
secret,5.39,
wear,4.63,
worth,7.08,
act,6.42,
careful,5.09,
quick,5.89,
handle,6.30,
pass,5.39,
early,5.31,
report,6.60,
state,6.39,
busy,5.95,
table,4.39,
wake,5.63,
ball,2.90,
major,8.80,
seven,5.36,
mouth,3.58,
marry,5.83,
fault,6.94,
lunch,3.61,
lieutenant,9.50,
expect,8.70,
mama,1.89,
future,7.16,
paper,4.00,
officer,6.50,
hotel,6.05,
buddy,5.37,
agent,9.55,
blue,3.53,
mistake,5.78,
tv,3.47,
wedding,6.00,
clothes,3.11,
weird,5.61,
court,8.39,
floor,4.44,
building,6.16,
earth,5.37,
dude,7.89,
finish,6.32,
ship,5.33,
club,5.89,
attention,6.78,
eight,5.36,
pain,4.26,
sing,3.47,
blow,4.00,
choice,5.17,
ray,6.73,
birthday,2.85,
stick,3.89,
relax,7.11,
yesterday,4.58,
honor,7.89,
colonel,9.62,
smart,5.50,
boat,3.84,
plane,4.95,
month,5.79,
lovely,7.26,
train,4.00,
fair,5.67,
worried,6.65,
security,8.06,
cover,5.42,
across,6.64,
bag,4.28,
terrible,5.56,
song,4.26,
spend,6.44,
horse,4.15,
ring,4.53,
sell,7.05,
return,5.61,
personal,8.05,
message,6.32,
system,9.90,
afternoon,4.65,
bob,6.16,
tough,5.47,
quit,5.26,
count,2.61,
box,4.30,
present,4.83,
charge,7.50,
information,7.19,
fool,7.56,
simple,6.89,
middle,4.70,
calm,6.26,
surprise,5.47,
dark,3.74,
swear,7.21,
land,5.22,
cute,4.26,
master,6.50,
dress,4.05,
key,3.58,
strong,4.58,
fix,5.00,
interesting,6.95,
strange,6.42,
rock,3.22,
voice,4.83,
cop,4.94,
window,4.74,
bar,6.90,
interested,8.83,
appreciate,8.80,
army,7.15,
short,4.32,
record,6.30,
card,6.20,
certain,8.20,
college,8.37,
evidence,10.58,
fly,3.05,
bank,6.44,
test,6.26,
history,6.42,
born,4.68,
proud,5.44,
fish,4.05,
join,5.83,
lead,6.76,
smell,4.22,
near,5.41,
apartment,7.80,
enjoy,5.75,
letter,4.74,
situation,9.26,
trip,4.22,
mark,6.48,
store,4.76,
amazing,5.22,
star,3.89,
accident,5.30,
imagine,6.06,
doc,8.53,
ought,9.62,
pleasure,8.21,
list,5.58,
rich,6.32,
service,8.00,
entire,7.22,
difference,7.35,
judge,8.85,
ice,3.86,
lawyer,7.78,
fat,5.15,
alright,6.28,
instead,6.68,
age,4.38,
station,7.11,
realize,8.23,
gold,7.10,
seat,4.58,
hundred,5.47,
summer,4.33,
angel,4.00,
mess,4.28,
chief,7.53,
radio,5.17,
hungry,3.63,
marriage,7.17,
brain,5.76,
soul,6.17,
forgive,5.44,
drunk,9.26,
deep,5.47,
girlfriend,6.26,
slow,4.15,
private,6.16,
during,6.80,
attack,6.58,
beer,6.11,
definitely,7.29,
partner,5.85,
area,6.58,
dangerous,5.60,
offer,7.48,
scene,8.17,
third,4.58,
upset,5.26,
bus,3.85,
owe,8.61,
group,5.94,
kick,4.06,
evil,6.71,
joke,5.20,
fell,3.28,
truck,3.79,
teach,4.67,
green,3.79,
ground,4.89,
cash,4.84,
forward,4.24,
honest,5.46,
boyfriend,6.89,
park,4.47,
position,8.72,
single,6.68,
respect,8.50,
crime,7.67,
public,8.47,
mommy,2.50,
congratulations,7.25,
grab,5.37,
art,6.21,
favor,6.94,
upstairs,3.86,
wall,3.79,
force,6.00,
jail,5.74,
push,4.26,
prove,7.84,
normal,5.53,
machine,6.53,
protect,6.79,
field,6.10,
jump,2.84,
nose,2.95,
hide,4.47,
church,5.15,
sun,3.40,
peace,6.32,
professor,10.89,
share,4.84,
bullshit,10.00,
thousand,6.60,
fear,4.79,
tape,4.42,
suit,6.67,
pictures,5.11,
holy,5.55,
gas,5.32,
relationship,9.11,
neither,6.74,
nine,3.23,
pop,4.48,
bother,6.50,
nervous,6.79,
whether,7.11,
round,4.75,
dirty,4.55,
cat,3.68,
breakfast,3.47,
idiot,6.50,
space,5.67,
prison,7.50,
carry,5.16,
bastard,10.45,
cry,2.78,
